customer_id,total_orders,total_spend,average_order_value,first_purchase,last_purchase,total_returns,avg_discount_pct,discount_orders,distinct_categories,days_since_last_purchase,customer_span_days,purchase_frequency,return_rate,discount_usage_rate,favorite_category,avg_review_rating,n_reviews,site_visits_last_90d,avg_pages_per_visit,signup_date,region,acquisition_channel,age,primary_category,customer_tenure_days,customer_lifetime_value,will_purchase_next_60d,churned,churn_probability,predicted_churn,is_test_set
100000,10.0,11708.18,1170.818,2024-04-07,2025-06-30,2.0,2.5,1.0,5.0,2.0,449.0,0.6681514476614699,0.2,0.1,Sports & Outdoors,3.3833333333333333,6.0,19.0,4.0,2024-03-06,North,Paid Ads,45,Sports & Outdoors,483,8847.796480331263,1,0,0.39371384190402436,0,0
100001,46.0,46007.93,1000.1723913043478,2023-09-18,2025-05-27,2.0,3.695652173913044,13.0,7.0,36.0,617.0,2.2366288492706645,0.0434782608695652,0.2826086956521739,Toys & Games,4.076190476190476,21.0,23.0,8.0,2023-08-25,South,Referral,24,Toys & Games,677,24804.866248153616,1,0,0.14239345872815906,0,1
100002,9.0,22690.61,2521.178888888889,2024-05-21,2025-06-07,2.0,7.777777777777778,5.0,3.0,25.0,382.0,0.7068062827225131,0.2222222222222222,0.5555555555555556,Electronics,3.0,2.0,15.0,5.666666666666667,2024-05-11,Central,Paid Ads,23,Electronics,417,19861.085491606715,1,0,0.5277097789092838,1,0
100003,10.0,22728.59,2272.859,2024-07-09,2025-05-23,1.0,9.5,6.0,4.0,40.0,318.0,0.9433962264150944,0.1,0.6,Home & Kitchen,4.185714285714286,7.0,27.0,4.0,2024-06-30,Central,Email,30,Home & Kitchen,367,22604.72847411444,1,0,0.2512673864325536,0,0
100004,10.0,14686.98,1468.698,2023-08-20,2025-06-28,0.0,4.0,2.0,4.0,4.0,678.0,0.4424778761061946,0.0,0.2,Toys & Games,4.06,5.0,10.0,6.666666666666667,2023-06-23,South,Paid Ads,42,Toys & Games,740,7244.253648648648,0,1,0.5999727837393166,1,0
100005,15.0,9794.82,652.9879999999999,2024-07-05,2025-06-21,2.0,7.333333333333333,8.0,5.0,11.0,351.0,1.2820512820512822,0.1333333333333333,0.5333333333333333,Grocery,3.78,10.0,12.0,6.0,2024-06-02,Central,Referral,25,Grocery,395,9050.909620253164,1,0,0.40728043105568834,0,1
100006,10.0,11135.61,1113.561,2024-02-25,2025-05-15,1.0,3.0,2.0,5.0,48.0,445.0,0.6741573033707865,0.1,0.2,Home & Kitchen,3.9375,8.0,16.0,4.666666666666667,2023-12-31,South,Direct,32,Home & Kitchen,549,7403.456557377051,1,0,0.4619856523818482,0,0
100007,13.0,14612.28,1124.0215384615385,2024-02-20,2025-05-28,0.0,6.923076923076923,6.0,5.0,35.0,463.0,0.8423326133909287,0.0,0.4615384615384615,Grocery,4.290909090909091,11.0,21.0,6.666666666666667,2024-02-09,North,Referral,33,Grocery,509,10478.35402750491,1,0,0.28351798274385354,0,0
100008,33.0,43392.22,1314.9157575757577,2023-07-25,2025-06-26,3.0,4.545454545454546,11.0,7.0,6.0,702.0,1.4102564102564104,0.0909090909090909,0.3333333333333333,Home & Kitchen,3.9333333333333336,12.0,37.0,4.0,2023-06-23,South,Direct,23,Home & Kitchen,740,21402.919324324324,1,0,0.19040770222681963,0,0
100009,1.0,586.8,586.8,2024-09-24,2024-09-24,0.0,0.0,0.0,1.0,281.0,1.0,30.0,0.0,0.0,Fashion,3.5,1.0,7.0,3.6666666666666665,2024-08-22,East,Email,18,Fashion,314,682.108280254777,1,0,0.7274174027234362,1,0
100010,26.0,21488.74,826.4899999999999,2023-01-18,2025-05-29,3.0,3.8461538461538463,10.0,6.0,34.0,862.0,0.9048723897911832,0.1153846153846153,0.3846153846153846,Beauty & Personal Care,4.085714285714286,14.0,10.0,3.333333333333333,2023-01-01,North,Social Media,23,Beauty & Personal Care,913,8590.788718510405,0,1,0.641641694100282,1,0
100011,4.0,4045.49,1011.3725,2024-12-25,2025-03-04,1.0,13.75,3.0,3.0,120.0,69.0,1.7391304347826089,0.25,0.75,Fashion,3.1,1.0,10.0,5.0,2024-10-31,North,Paid Ads,37,Fashion,244,6051.655122950819,0,1,0.7632709520695573,1,1
100012,28.0,15585.05,556.6089285714286,2024-01-05,2025-06-15,1.0,8.392857142857142,17.0,7.0,17.0,527.0,1.5939278937381405,0.0357142857142857,0.6071428571428571,Books,4.265,20.0,10.0,5.333333333333333,2023-12-03,West,Paid Ads,40,Books,577,9858.82712305026,1,0,0.39141442611007127,0,1
100013,34.0,41469.38,1219.6876470588234,2024-01-25,2025-06-30,3.0,3.676470588235294,9.0,7.0,2.0,522.0,1.9540229885057472,0.088235294117647,0.2647058823529412,Fashion,4.3,20.0,27.0,5.666666666666667,2024-01-22,West,Direct,40,Fashion,527,28721.676850094875,1,0,0.10631306813315146,0,0
100014,4.0,3376.3,844.075,2025-01-28,2025-04-05,0.0,5.0,2.0,3.0,88.0,67.0,1.791044776119403,0.0,0.5,Beauty & Personal Care,3.966666666666667,3.0,22.0,5.0,2024-11-21,West,Organic Search,41,Beauty & Personal Care,223,5526.230941704036,1,0,0.3277502044270307,0,1
100015,15.0,17020.13,1134.6753333333334,2023-11-21,2025-04-18,1.0,7.333333333333333,9.0,5.0,75.0,514.0,0.8754863813229572,0.0666666666666666,0.6,Sports & Outdoors,4.077777777777778,9.0,7.0,4.333333333333333,2023-10-27,Central,Direct,28,Sports & Outdoors,614,10117.829723127035,1,0,0.6249284456499758,1,0
100016,9.0,3866.05,429.56111111111113,2024-08-03,2025-05-14,0.0,7.777777777777778,4.0,2.0,49.0,284.0,0.9507042253521126,0.0,0.4444444444444444,Grocery,4.4625,8.0,21.0,6.333333333333333,2024-07-31,South,Paid Ads,25,Grocery,336,4199.726934523809,0,1,0.426821058054777,0,0
100017,7.0,25526.99,3646.712857142857,2025-03-04,2025-06-13,0.0,4.285714285714286,3.0,2.0,19.0,101.0,2.0792079207920797,0.0,0.4285714285714285,Electronics,4.725,4.0,31.0,6.0,2025-02-01,Central,Referral,39,Electronics,151,61704.31357615894,1,0,0.15893481178350813,0,0
100018,17.0,24518.07,1442.239411764706,2023-09-11,2025-05-17,2.0,6.176470588235294,6.0,5.0,46.0,614.0,0.8306188925081434,0.1176470588235294,0.3529411764705882,Sports & Outdoors,3.4,11.0,10.0,5.666666666666667,2023-08-29,South,Paid Ads,32,Sports & Outdoors,673,13297.318796433878,0,1,0.7247224832971859,1,1
