customer_id,signup_date,region,acquisition_channel,age,primary_category
100000,2024-03-06,North,Paid Ads,45,Sports & Outdoors
100001,2023-08-25,South,Referral,24,Toys & Games
100002,2024-05-11,Central,Paid Ads,23,Electronics
100003,2024-06-30,Central,Email,30,Home & Kitchen
100004,2023-06-23,South,Paid Ads,42,Toys & Games
100005,2024-06-02,Central,Referral,25,Grocery
100006,2023-12-31,South,Direct,32,Home & Kitchen
100007,2024-02-09,North,Referral,33,Grocery
100008,2023-06-23,South,Direct,23,Home & Kitchen
100009,2024-08-22,East,Email,18,Fashion
100010,2023-01-01,North,Social Media,23,Beauty & Personal Care
100011,2024-10-31,North,Paid Ads,37,Fashion
100012,2023-12-03,West,Paid Ads,40,Books
100013,2024-01-22,West,Direct,40,Fashion
100014,2024-11-21,West,Organic Search,41,Beauty & Personal Care
100015,2023-10-27,Central,Direct,28,Sports & Outdoors
100016,2024-07-31,South,Paid Ads,25,Grocery
100017,2025-02-01,Central,Referral,39,Electronics
100018,2023-08-29,South,Paid Ads,32,Sports & Outdoors
100019,2025-04-06,Central,Direct,44,Grocery
100020,2024-12-28,West,Organic Search,39,Sports & Outdoors
100021,2024-05-15,South,Paid Ads,49,Fashion
100022,2023-06-27,South,Direct,29,Sports & Outdoors
100023,2023-09-28,East,Organic Search,46,Sports & Outdoors
100024,2024-03-12,East,Organic Search,57,Fashion
100025,2025-05-18,South,Direct,35,Grocery
100026,2024-11-11,South,Email,40,Fashion
100027,2024-09-18,Central,Organic Search,24,Toys & Games
100028,2025-02-10,West,Social Media,44,Home & Kitchen
100029,2025-06-14,North,Organic Search,47,Electronics
100030,2024-04-28,West,Organic Search,29,Books
100031,2023-09-13,North,Social Media,41,Beauty & Personal Care
100032,2024-10-09,East,Organic Search,38,Sports & Outdoors
100033,2023-07-04,North,Paid Ads,39,Fashion
100034,2025-04-23,West,Organic Search,43,Electronics
100035,2025-02-20,North,Direct,40,Fashion
100036,2024-05-06,South,Social Media,33,Home & Kitchen
100037,2024-10-30,North,Organic Search,44,Electronics
100038,2023-10-22,North,Direct,47,Books
100039,2024-01-04,North,Email,28,Beauty & Personal Care
100040,2024-10-13,East,Organic Search,34,Fashion
100041,2025-04-10,Central,Direct,18,Sports & Outdoors
100042,2024-11-10,South,Organic Search,41,Books
100043,2023-12-25,West,Paid Ads,48,Beauty & Personal Care
100044,2023-10-04,East,Paid Ads,32,Sports & Outdoors
100045,2024-10-29,South,Organic Search,36,Beauty & Personal Care
100046,2025-06-15,North,Referral,32,Electronics
100047,2025-04-30,West,Social Media,30,Beauty & Personal Care
100048,2024-01-28,North,Direct,37,Fashion
100049,2024-10-17,East,Organic Search,26,Sports & Outdoors
100050,2024-10-11,North,Organic Search,32,Books
100051,2025-02-23,West,Paid Ads,25,Beauty & Personal Care
100052,2025-02-26,Central,Organic Search,41,Beauty & Personal Care
100053,2023-07-12,South,Direct,37,Fashion
100054,2024-01-13,South,Referral,30,Books
100055,2024-12-12,East,Email,35,Sports & Outdoors
100056,2024-05-31,East,Referral,32,Home & Kitchen
100057,2024-04-02,South,Organic Search,47,Fashion
100058,2023-01-01,South,Organic Search,30,Toys & Games
100059,2025-03-12,North,Paid Ads,41,Sports & Outdoors
100060,2024-04-07,South,Email,27,Electronics
100061,2023-07-15,East,Paid Ads,43,Fashion
100062,2023-01-01,West,Organic Search,46,Grocery
100063,2024-12-22,West,Referral,46,Sports & Outdoors
100064,2024-10-20,East,Organic Search,51,Fashion
100065,2023-10-18,West,Social Media,38,Home & Kitchen
100066,2025-05-20,East,Organic Search,48,Fashion
100067,2024-03-02,South,Social Media,52,Beauty & Personal Care
100068,2023-01-01,South,Paid Ads,22,Electronics
100069,2024-01-22,East,Direct,28,Fashion
100070,2025-07-23,South,Referral,18,Electronics
100071,2025-01-30,West,Organic Search,46,Toys & Games
100072,2024-12-16,North,Email,18,Fashion
100073,2023-03-17,North,Email,18,Beauty & Personal Care
100074,2024-08-14,East,Referral,22,Fashion
100075,2025-06-13,North,Direct,18,Electronics
100076,2024-07-12,North,Email,37,Electronics
100077,2024-05-10,South,Organic Search,23,Electronics
