order_id,customer_id,order_date,category,quantity,unit_price,discount_pct,net_amount,is_returned
ORD1000000001,100000,2024-04-07,Books,1,182.38,0.0,182.38,0
ORD1000000002,100000,2024-09-12,Electronics,1,2999.75,0.0,2999.75,1
ORD1000000003,100000,2024-09-18,Home & Kitchen,1,1050.05,0.0,1050.05,0
ORD1000000004,100000,2024-09-27,Sports & Outdoors,2,750.98,0.0,1501.96,0
ORD1000000005,100000,2024-10-06,Sports & Outdoors,2,983.01,0.0,1966.03,1
ORD1000000006,100000,2024-11-10,Home & Kitchen,1,794.16,25.0,595.62,0
ORD1000000007,100000,2024-12-16,Books,1,363.74,0.0,363.74,0
ORD1000000008,100000,2024-12-29,Fashion,1,892.38,0.0,892.38,0
ORD1000000009,100000,2025-04-16,Sports & Outdoors,2,537.87,0.0,1075.75,0
ORD1000000010,100000,2025-06-30,Sports & Outdoors,1,1080.52,0.0,1080.52,0
ORD1000000011,100000,2025-07-29,Beauty & Personal Care,1,761.21,0.0,761.21,0
ORD1000010001,100001,2023-09-18,Toys & Games,1,1122.92,5.0,1066.78,1
ORD1000010002,100001,2023-09-22,Toys & Games,2,599.66,0.0,1199.32,0
ORD1000010003,100001,2023-09-24,Beauty & Personal Care,1,831.36,0.0,831.36,0
ORD1000010004,100001,2023-09-25,Beauty & Personal Care,1,555.18,0.0,555.18,0
ORD1000010005,100001,2023-10-20,Toys & Games,1,305.16,0.0,305.16,0
ORD1000010006,100001,2023-10-30,Toys & Games,1,430.82,0.0,430.82,0
ORD1000010007,100001,2023-11-03,Toys & Games,1,784.12,10.0,705.71,0
ORD1000010008,100001,2023-11-19,Toys & Games,2,524.05,30.0,733.67,0
ORD1000010009,100001,2023-11-25,Toys & Games,1,803.94,0.0,803.94,0
ORD1000010010,100001,2023-12-05,Toys & Games,1,989.41,5.0,939.94,0
ORD1000010011,100001,2023-12-10,Toys & Games,3,660.52,0.0,1981.55,0
ORD1000010012,100001,2023-12-24,Fashion,1,1385.56,5.0,1316.28,0
ORD1000010013,100001,2024-01-24,Toys & Games,1,897.47,0.0,897.47,0
ORD1000010014,100001,2024-01-30,Toys & Games,1,527.28,10.0,474.56,0
ORD1000010015,100001,2024-02-16,Toys & Games,2,812.34,0.0,1624.69,0
ORD1000010016,100001,2024-03-04,Toys & Games,1,499.38,0.0,499.38,0
ORD1000010017,100001,2024-03-16,Books,1,74.31,0.0,74.31,0
ORD1000010018,100001,2024-03-16,Toys & Games,2,765.39,0.0,1530.79,0
ORD1000010019,100001,2024-03-17,Toys & Games,1,722.89,0.0,722.89,0
ORD1000010020,100001,2024-04-19,Toys & Games,1,827.18,0.0,827.18,0
ORD1000010021,100001,2024-04-19,Toys & Games,1,838.88,0.0,838.88,0
ORD1000010022,100001,2024-05-09,Beauty & Personal Care,2,506.59,0.0,1013.19,0
ORD1000010023,100001,2024-05-11,Toys & Games,1,714.52,0.0,714.52,0
ORD1000010024,100001,2024-05-13,Toys & Games,1,1042.61,10.0,938.35,0
ORD1000010025,100001,2024-07-01,Toys & Games,2,507.05,0.0,1014.1,0
ORD1000010026,100001,2024-07-16,Electronics,1,1086.12,0.0,1086.12,0
ORD1000010027,100001,2024-07-17,Toys & Games,2,262.77,0.0,525.53,0
ORD1000010028,100001,2024-07-19,Toys & Games,1,367.11,0.0,367.11,0
ORD1000010029,100001,2024-07-22,Toys & Games,1,371.52,0.0,371.52,0
ORD1000010030,100001,2024-07-24,Toys & Games,1,530.25,15.0,450.71,0
ORD1000010031,100001,2024-07-31,Grocery,1,375.95,0.0,375.95,0
ORD1000010032,100001,2024-08-14,Toys & Games,1,500.4,0.0,500.4,0
ORD1000010033,100001,2024-10-01,Sports & Outdoors,1,1412.3,0.0,1412.3,0
ORD1000010034,100001,2024-11-01,Toys & Games,2,559.51,0.0,1119.03,0
ORD1000010035,100001,2024-11-15,Toys & Games,1,827.57,0.0,827.57,0
ORD1000010036,100001,2024-12-08,Toys & Games,1,732.48,0.0,732.48,0
ORD1000010037,100001,2024-12-15,Beauty & Personal Care,1,619.13,25.0,464.35,0
ORD1000010038,100001,2025-01-16,Toys & Games,1,662.42,0.0,662.42,0
ORD1000010039,100001,2025-01-19,Toys & Games,2,648.33,0.0,1296.65,0
ORD1000010040,100001,2025-01-29,Fashion,1,893.66,25.0,670.24,1
ORD1000010041,100001,2025-01-30,Electronics,1,2139.09,15.0,1818.22,0
ORD1000010042,100001,2025-02-03,Sports & Outdoors,1,1233.65,0.0,1233.65,0
ORD1000010043,100001,2025-02-09,Electronics,1,3592.94,5.0,3413.29,0
ORD1000010044,100001,2025-03-25,Beauty & Personal Care,2,400.26,0.0,800.51,0
ORD1000010045,100001,2025-05-18,Electronics,2,2959.28,10.0,5326.71,0
ORD1000010046,100001,2025-05-27,Grocery,1,513.15,0.0,513.15,0
ORD1000010047,100001,2025-07-03,Books,1,630.01,25.0,472.51,0
ORD1000010048,100001,2025-07-17,Beauty & Personal Care,1,156.64,0.0,156.64,0
ORD1000010049,100001,2025-07-23,Toys & Games,1,275.65,25.0,206.73,0
ORD1000010050,100001,2025-07-30,Electronics,1,3113.6,0.0,3113.6,1
ORD1000020001,100002,2024-05-21,Electronics,1,2054.49,10.0,1849.04,0
ORD1000020002,100002,2024-05-27,Electronics,1,6325.94,20.0,5060.75,0
ORD1000020003,100002,2024-05-28,Electronics,2,877.73,15.0,1492.14,0
ORD1000020004,100002,2024-09-14,Sports & Outdoors,1,1181.15,0.0,1181.15,0
ORD1000020005,100002,2024-09-21,Electronics,1,2779.04,15.0,2362.19,0
ORD1000020006,100002,2025-01-07,Electronics,1,1363.19,0.0,1363.19,1
ORD1000020007,100002,2025-05-18,Fashion,1,1232.51,0.0,1232.51,0
ORD1000020008,100002,2025-05-20,Electronics,1,4452.07,0.0,4452.07,1
ORD1000020009,100002,2025-06-07,Electronics,1,4108.41,10.0,3697.57,0
ORD1000020010,100002,2025-08-07,Electronics,1,3428.42,0.0,3428.42,0
ORD1000030001,100003,2024-07-09,Fashion,3,1477.36,10.0,3988.87,0
ORD1000030002,100003,2024-07-14,Home & Kitchen,1,1583.91,25.0,1187.93,0
ORD1000030003,100003,2024-10-10,Home & Kitchen,1,1051.54,10.0,946.38,0
ORD1000030004,100003,2024-11-15,Home & Kitchen,1,1081.97,0.0,1081.97,0
ORD1000030005,100003,2025-03-02,Home & Kitchen,2,1376.16,10.0,2477.09,0
ORD1000030006,100003,2025-03-10,Toys & Games,1,50.0,15.0,42.5,0
ORD1000030007,100003,2025-04-09,Home & Kitchen,1,1719.04,0.0,1719.04,0
ORD1000030008,100003,2025-05-08,Home & Kitchen,1,1589.07,0.0,1589.07,0
ORD1000030009,100003,2025-05-17,Electronics,2,3877.97,0.0,7755.94,1
ORD1000030010,100003,2025-05-23,Home & Kitchen,2,1293.2,25.0,1939.8,0
ORD1000030011,100003,2025-07-19,Electronics,1,2506.27,0.0,2506.27,0
ORD1000030012,100003,2025-08-09,Beauty & Personal Care,2,497.54,0.0,995.08,0
ORD1000030013,100003,2025-08-18,Home & Kitchen,2,1311.96,0.0,2623.91,0
ORD1000040001,100004,2023-08-20,Beauty & Personal Care,1,377.04,10.0,339.34,0
ORD1000040002,100004,2023-09-06,Toys & Games,2,1188.01,30.0,1663.22,0
ORD1000040003,100004,2023-09-13,Toys & Games,2,763.99,0.0,1527.98,0
ORD1000040004,100004,2023-12-18,Toys & Games,1,507.53,0.0,507.53,0
ORD1000040005,100004,2024-10-14,Toys & Games,3,482.31,0.0,1446.94,0
ORD1000040006,100004,2024-10-31,Toys & Games,2,535.01,0.0,1070.03,0
ORD1000040007,100004,2024-11-06,Beauty & Personal Care,1,287.9,0.0,287.9,0
ORD1000040008,100004,2024-11-10,Toys & Games,1,850.22,0.0,850.22,0
ORD1000040009,100004,2025-06-07,Electronics,2,2562.17,0.0,5124.33,0
ORD1000040010,100004,2025-06-28,Home & Kitchen,1,1869.49,0.0,1869.49,0
ORD1000050001,100005,2024-07-05,Fashion,1,1087.85,0.0,1087.85,1
ORD1000050002,100005,2024-07-28,Beauty & Personal Care,1,632.4,0.0,632.4,0
ORD1000050003,100005,2024-08-22,Grocery,1,595.89,0.0,595.89,0
ORD1000050004,100005,2024-09-08,Grocery,1,381.56,15.0,324.33,0
ORD1000050005,100005,2024-09-10,Grocery,1,429.45,5.0,407.97,0
ORD1000050006,100005,2024-10-04,Grocery,1,409.34,10.0,368.4,0
ORD1000050007,100005,2024-12-01,Grocery,1,491.89,0.0,491.89,0
ORD1000050008,100005,2024-12-09,Grocery,1,596.47,5.0,566.64,0
ORD1000050009,100005,2024-12-19,Grocery,1,465.05,25.0,348.79,0
ORD1000050010,100005,2025-01-15,Grocery,1,669.5,5.0,636.03,0
ORD1000050011,100005,2025-03-10,Toys & Games,1,1168.71,0.0,1168.71,0
