base_feature,mean_abs_shap
site_visits_last_90d,0.09365341898518352
days_since_last_purchase,0.045287959486178996
avg_review_rating,0.040903784280770544
customer_lifetime_value,0.02826917221878696
purchase_frequency,0.026815481735378677
customer_tenure_days,0.017219388044941036
total_orders,0.008949397750235443
total_spend,0.008558929000728757
return_rate,0.008411052397889121
avg_pages_per_visit,0.007019716597462231
favorite_category,0.006912635195751665
age,0.006563412744786993
n_reviews,0.005459951154668519
average_order_value,0.005366062424228818
region,0.00512749320840214
acquisition_channel,0.003578947220948645
discount_usage_rate,0.003223057289455405
distinct_categories,0.003018277014760319
