order_month,revenue,orders,active_customers,returns,return_rate,repeat_purchase_rate
2023-01-01,903939.96,669,424,41,0.061285500747384154,0.35575485799701045
2023-02-01,894755.0,605,401,37,0.06115702479338843,0.7008264462809918
2023-03-01,993568.55,734,473,50,0.0681198910081744,0.837874659400545
2023-04-01,1192074.48,812,527,60,0.07389162561576355,0.8830049261083743
2023-05-01,1196914.48,923,605,59,0.06392199349945829,0.8981581798483207
2023-06-01,1274067.46,941,632,58,0.061636556854410204,0.895855472901169
2023-07-01,1552403.74,1126,691,66,0.0586145648312611,0.9182948490230906
2023-08-01,1627765.37,1197,757,70,0.05847953216374269,0.9047619047619048
2023-09-01,1608372.25,1179,754,71,0.06022052586938083,0.9016115351993215
2023-10-01,1950000.43,1407,913,129,0.09168443496801706,0.8976545842217484
2023-11-01,1983642.95,1473,970,116,0.07875084860828242,0.9097080787508486
2023-12-01,2141054.84,1624,1046,123,0.07573891625615764,0.9156403940886699
2024-01-01,2390650.48,1732,1099,108,0.06235565819861432,0.9076212471131639
2024-02-01,2373279.47,1772,1135,110,0.062076749435665914,0.9215575620767494
2024-03-01,2913303.33,2077,1330,130,0.06259027443428021,0.909484833895041
2024-04-01,2845126.86,2136,1414,157,0.07350187265917603,0.9143258426966292
2024-05-01,3229789.03,2345,1531,159,0.06780383795309168,0.9130063965884861
2024-06-01,3327312.81,2427,1601,170,0.0700453234445818,0.9142974866089822
2024-07-01,3901393.71,2796,1781,202,0.07224606580829757,0.9080829756795422
2024-08-01,4102553.51,2919,1853,223,0.0763960260363138,0.9201781431997259
2024-09-01,3987354.69,2901,1938,221,0.07618062736987245,0.9145122371596002
2024-10-01,4621050.01,3299,2116,223,0.06759624128523795,0.9260381933919369
2024-11-01,4596444.56,3299,2199,245,0.07426492876629281,0.9266444377083964
2024-12-01,4936004.69,3577,2347,266,0.07436399217221135,0.9281520827509085
2025-01-01,5150072.63,3795,2505,297,0.0782608695652174,0.9320158102766798
2025-02-01,5085783.03,3599,2418,236,0.06557377049180328,0.9358155043067519
2025-03-01,5545619.08,4068,2646,295,0.07251720747295969,0.9422320550639135
2025-04-01,5752261.11,4084,2671,339,0.08300685602350637,0.943437806072478
2025-05-01,5717775.32,4205,2729,333,0.07919143876337693,0.9512485136741974
2025-06-01,5776697.71,4175,2744,370,0.08862275449101796,0.9516167664670658
2025-07-01,5780337.26,4256,2798,327,0.0768327067669173,0.9614661654135338
2025-08-01,5463812.05,4059,2696,291,0.07169253510716925,0.9773343187977335
