driver,mean_abs_shap_impact
site_visits_last_90d,0.0936534189851835
days_since_last_purchase,0.0452879594861789
avg_review_rating,0.0409037842807705
customer_lifetime_value,0.0282691722187869
purchase_frequency,0.0268154817353786
customer_tenure_days,0.017219388044941
total_orders,0.0089493977502354
total_spend,0.0085589290007287
return_rate,0.0084110523978891
avg_pages_per_visit,0.0070197165974622
favorite_category,0.0069126351957516
age,0.0065634127447869
n_reviews,0.0054599511546685
average_order_value,0.0053660624242288
region,0.0051274932084021
acquisition_channel,0.0035789472209486
discount_usage_rate,0.0032230572894554
distinct_categories,0.0030182770147603
